document_id,term,frequency
7,cada,3
10,cada,3
7,cadena,5
6,cafar,1
8,cafar,3
1,calambre,1
3,calambre,1
1,calcio,2
5,calor,1
8,calor,1
3,calorio,2
5,calorio,1
4,cama,7
4,cambiar,1
10,cambiar,1
3,cambio_evacuacion,7
4,cambio_lunar,9
2,cambio_piel,6
1,campo,1
10,campo,1
9,canal,1
10,canal,1
1,cansancio,14
3,cansancio,2
5,cansancio,2
6,cansancio,2
7,cansancio,4
8,cansancio,4
9,cansancio,7
10,cansancio,1
3,cantidad,2
4,cantidad,1
5,cantidad,2
7,cantidad,1
9,cantidad,2
10,cantidad,1
4,capa,1
10,capa,1
7,capaz,2
1,cara,3
4,cara,2
4,carcinoma,19
7,carcinoma,5
10,carcinoma,2
4,carcinomar,1
7,carcinomar,2
3,carne,2
7,casi,2
8,casi,3
1,causado,2
1,cava,4
1,cell,6
1,cerca,1
7,cerca,1
8,cerca,1
2,cercano,1
5,cercano,1
7,cercano,1
8,cercano,2
3,cereal,1
5,cereal,1
1,cerebelo,2
1,cerebro,5
3,cerrar,1
4,cerrar,5
5,cerrar,2
9,cerrar,1
10,cerrar,3
3,ciclo,1
7,ciclo,1
10,ciclo,1
1,cierto,1
4,cierto,1
5,cierto,1
9,cierto,1
7,cirrosis,5
3,cirugia,1
5,cirugia,2
6,cirugia,1
7,cirugia,1
10,cirugia,1
1,cirugio,2
8,cirugio,1
3,cita,1
4,cita,1
9,cita,1
2,claro,1
3,claro,1
4,claro,2
5,claro,2
7,claro,1
8,claro,2
10,claro,2
5,clasificacion,1
9,clasificacion,2
1,clave,1
6,clave,1
7,clave,1
8,clave,1
8,coagulo,6
5,cola,1
8,cola,2
7,colangiocarcinoma,3
8,coledoco,3
7,colesterol,4
3,colon,73
1,color,2
4,color,6
5,color,1
6,color,1
7,color,1
8,color,6
1,coloracion,1
6,coloracion,1
8,coloracion,2
3,colorrectal,2
10,colposcopia,2
10,columna,2
3,comar,2
5,comar,1
3,combinar,1
10,combinar,1
3,comer,1
5,comer,1
6,comer,1
7,comer,1
8,comer,1
1,comienzo,2
7,comienzo,1
8,comienzo,1
3,compania,1
4,compania,1
5,compania,1
9,compania,1
10,compania,1
5,comparacion,1
7,comparacion,1
7,completamente,2
5,complicacion,2
9,comprender,1
10,comprender,1
1,compuesto,1
7,compuesto,1
5,conducto,1
7,conducto,3
8,conducto,5
10,conducto,1
1,confusion,2
1,conocer,1
4,conocer,1
5,conocer,3
7,conocer,1
5,conocido,2
7,conocido,2
10,conocido,1
3,consanguineo,1
4,consanguineo,1
5,consanguineo,1
6,consecuencia,2
5,conseguir,2
3,considerar,2
5,considerar,2
2,contar,1
5,contar,1
9,contar,1
10,contar,1
4,contraer,1
10,contraer,4
7,contribuir,1
10,contribuir,1
1,controlar,1
4,controlar,1
5,controlar,2
7,controlar,3
5,convertir,1
7,convertir,1
10,convertir,1
1,convulsion,3
5,corporal,1
7,corporal,2
3,correr,2
5,correr,1
1,cosa,1
6,cosa,1
8,costilla,2
2,crecer,1
5,crecer,2
7,crecer,3
8,crecer,1
9,crecer,4
7,crecimiento,6
1,creer,1
4,creer,1
7,creer,1
9,creer,1
7,cromosomar,3
7,cronico,1
9,cronico,9
3,cuanto,1
10,cuanto,2
7,cuatro,3
1,cuello,2
4,cuello,1
10,cuello,55
7,cuello_uterino,1
10,cuello_uterino,16
4,cuero,2
5,curar,4
1,cushing,4
2,cutaneo,1
4,cutaneo,2
4,debajo,1
5,debajo,2
7,debajo,1
8,debajo,1
1,debido,2
3,debido,1
7,debido,1
4,debilitado,4
10,debilitado,3
5,decision,2
7,decision,1
10,decision,1
3,dejar,1
5,dejar,1
7,dejar,1
10,dejar,1
7,delgado,2
10,delgado,1
1,demasiado,1
2,demasiado,1
3,demasiado,1
9,demasiado,1
5,demostrado,2
7,demostrado,1
2,denominado,1
4,denominado,1
1,denominar,1
3,denominar,1
1,dentro,1
7,dentro,3
1,derecho,2
8,derecho,2
4,derivar,1
7,derivar,1
10,derivar,1
5,desafortunadamente,1
10,desafortunadamente,1
1,desaparecer,2
10,desaparecer,1
7,desarrollado,2
4,desarrollar,2
5,desarrollar,1
7,desarrollar,3
10,desarrollar,1
1,descargar,1
6,descargar,1
8,descargar,1
3,descomponer,1
7,descomponer,1
8,descomponer,2
4,descripcion,1
5,descripcion,1
9,descripcion,1
1,descubrir,1
7,descubrir,1
9,descubrir,1
5,desear,2
10,desear,1
3,despacio,1
5,despacio,1
3,destruir,1
4,destruir,2
5,destruir,1
8,destruir,1
10,destruir,2
5,detecto,4
1,determinacion,2
6,determinacion,1
8,determinacion,1
4,determinado,1
5,determinado,2
9,determinado,1
1,determinar,2
3,determinar,1
5,determinar,2
7,determinar,1
3,diabet,1
7,diabet,1
8,diabet,1
8,diabetes,4
1,diagnosticar,1
7,diagnosticar,2
3,diar,2
7,diar,1
3,diario,2
3,diarrea,5
10,dietilestilbestrol,2
7,diferenciacion,2
5,diferenciar,1
7,diferenciar,3
3,diferente,1
4,diferente,1
5,diferente,2
7,diferente,3
10,diferente,1
5,dificil,1
7,dificil,1
10,dificil,1
1,dificultad,4
5,dificultad,4
8,dificultad,1
5,dificultad_orinar,8
1,dificultad_respirar,8
4,dificultar,1
8,dificultar,1
7,digestion,2
3,digestivo,3
3,digital,1
4,digital,1
5,digital,1
1,dirigido,1
3,dirigido,2
6,dirigido,1
8,dirigido,1
10,dirigido,2
3,disemin,1
4,disemin,1
5,disemin,7
4,diseminir,1
5,diseminir,1
1,disenado,1
7,disenado,1
5,disfuncion,3
7,disminuir,2
9,disminuir,1
1,distante,2
1,distinto,3
7,distinto,2
8,distinto,2
5,diverso,2
7,diverso,2
10,diverso,1
9,dividir,1
10,dividir,1
7,division,11
1,dolor,7
2,dolor,9
3,dolor,2
4,dolor,1
5,dolor,3
6,dolor,1
7,dolor,1
8,dolor,10
9,dolor,1
10,dolor,5
3,dolor_abdominal,6
6,dolor_abdominal,7
7,dolor_abdominal,6
8,dolor_abdominal,7
5,dolor_espalda,4
8,dolor_espalda,6
2,dolor_mama,5
1,dolor_pecho,7
5,dolor_pelvico,5
10,dolor_pelvico,6
10,dolor_sexual,5
1,donir,2
3,dos,1
4,dos,2
7,dos,2
10,dos,2
3,dosis,1
10,dosis,1
5,ecografia,1
7,ecografia,1
3,edicion,2
4,edicion,2
10,edicion,1
1,ejemplo,2
3,ejemplo,1
4,ejemplo,1
7,ejemplo,2
10,ejemplo,1
3,elegir,1
5,elegir,1
3,elevado,2
5,eliminar,2
10,embarazo,2
4,emitir,2
1,empeora,2
2,empeorar,1
8,empeorar,1
3,empezar,2
10,empezar,1
5,empiez,1
10,empiez,1
1,encargado,1
7,encargado,1
1,encima,1
6,encima,1
1,endocrino,3
5,energia,1
7,energia,1
8,energia,1
10,energia,1
2,enrojecimiento,2
8,enrojecimiento,1
5,entonces,1
7,entonces,1
8,entonces,1
1,entrar,1
7,entrar,1
7,envia,2
4,epidermoidar,2
1,equilibrio,2
5,ereccion,2
5,erectil,3
1,error,2
4,escamos,7
10,escamos,4
4,escuchar,1
5,escuchar,1
5,esencial,1
7,esencial,1
1,espalda,1
4,espalda,1
5,espalda,1
8,espalda,4
7,especial,1
10,especial,1
5,especialmente,1
8,especialmente,1
1,especifico,1
5,especifico,2
7,especifico,3
9,especifico,1
10,especifico,1
10,espontaneo,3
1,esputo,1
1,estadisticar,1
6,estadisticar,1
8,estadisticar,1
7,esteroid,2
6,estomago,42
8,estomago,1
5,estrategia,1
9,estrategia,1
10,estrategia,1
1,estrenimiento,1
3,estrenimiento,6
7,estrogeno,2
7,estructura,3
5,etapar,1
7,etapar,1
5,etnico,2
7,europa,2
10,evitar,2
9,evolucion,2
3,examinar,1
10,examinar,1
7,excesivo,1
9,excesivo,1
3,exceso,1
4,exceso,1
5,exceso,1
10,exceso,1
5,experto,2
2,explicacion,1
5,explicacion,3
10,explicacion,1
4,exposicion,1
7,exposicion,2
10,exposicion,1
4,expuesto,3
10,expuesto,1
6,extension,1
8,extension,1
5,exterior,1
7,exterior,1
4,externo,1
5,externo,1
10,externo,1
5,extirpar,1
10,extirpar,2
7,extraido,2
5,eyaculacion,4
4,facilidad,2
8,facilidad,1
9,facilidad,1
1,falta_aire,6
1,faltar,1
8,faltar,3
1,familia,1
3,familia,2
5,familia,1
7,familia,4
3,family,1
4,family,1
10,family,1
1,fatigar,1
8,fatigar,3
8,fatigo,1
9,fatigo,1
10,femenino,4
3,fibra,3
5,fiebre,1
9,fiebre,7
3,fin,1
4,fin,3
5,fin,1
9,fin,1
10,fin,1
3,financiar,1
4,financiar,1
5,financiar,1
9,financiar,1
10,financiar,1
3,fisico,2
5,fisico,2
7,fisico,1
8,fisico,6
5,flujo,1
10,flujo,2
10,flujo_vaginal,6
2,formacion,2
7,formacion,3
9,formacion,1
1,frecuencia,3
2,frecuencia,1
4,frecuencia,1
5,frecuencia,2
7,frecuencia,3
8,frecuencia,2
3,fruta,3
5,fruta,2
4,fuerte,1
